Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
399,India,8,Rajasthan,116,Tonk,2021,Total,11278,11472,6403,4938,683,12,2,34788,26384,1520,5467,1416,10852,3610,16923,3265,2441,2803,2221,3583,17541
400,India,8,Rajasthan,117,Udaipur,2021,Civil,7018,4941,3155,2854,599,65,25,18657,10887,752,2990,4024,7762,3350,5752,1099,711,949,3008,1971,10310
401,India,8,Rajasthan,117,Udaipur,2021,Criminal,19432,24560,16502,15243,2905,54,1,78697,72477,1148,5073,0,37356,2568,29986,8651,3938,4143,1787,3232,49988
402,India,8,Rajasthan,117,Udaipur,2021,Total,26450,29501,19657,18097,3504,119,26,97354,83364,1900,8063,4024,45118,5918,35738,9750,4649,5092,4795,5203,60298
403,India,8,Rajasthan,629,Pratapgarh,2021,Civil,857,729,330,252,48,5,1,2222,1799,151,8,264,588,562,709,348,110,135,503,529,923
404,India,8,Rajasthan,629,Pratapgarh,2021,Criminal,3767,3347,1814,750,59,1,0,9738,7839,459,1440,0,2492,648,4911,1686,995,1126,109,980,4682
405,India,8,Rajasthan,629,Pratapgarh,2021,Total,4624,4076,2144,1002,107,6,1,11960,9638,610,1448,264,3080,1210,5620,2034,1105,1261,612,1509,5605
406,India,9,Uttar Pradesh,118,Agra,2021,Civil,10682,10345,4901,4102,2034,503,483,33050,24061,1921,3235,3833,2016,2017,22110,6780,948,1609,3358,4753,18995
407,India,9,Uttar Pradesh,118,Agra,2021,Criminal,66861,64418,34234,40670,16710,2304,392,225589,176269,784,48532,4,109445,5549,60550,49939,28991,21483,2892,17882,38337
408,India,9,Uttar Pradesh,118,Agra,2021,Total,77543,74763,39135,44772,18744,2807,875,258639,200330,2705,51767,3837,111461,7566,82660,56719,29939,23092,6250,22635,57332
409,India,9,Uttar Pradesh,119,Aligarh,2021,Civil,8183,7981,4264,3541,1398,357,376,26100,22778,1126,82,2116,15264,688,7643,2128,1085,1263,4436,4850,17049
410,India,9,Uttar Pradesh,119,Aligarh,2021,Criminal,30779,38281,20974,39026,8233,1436,264,138993,114686,1019,23289,0,90052,6794,39203,501,4615,4860,2641,17486,74554
411,India,9,Uttar Pradesh,119,Aligarh,2021,Total,38962,46262,25238,42567,9631,1793,640,165093,137464,2145,23371,2116,105316,7482,46846,2629,5700,6123,7077,22336,91603
412,India,9,Uttar Pradesh,120,Prayagraj,2021,Civil,14734,17091,14272,19791,9838,2583,1118,79427,70000,4201,2853,2373,438,1132,73530,3536,1529,1008,12099,5868,50035
413,India,9,Uttar Pradesh,120,Prayagraj,2021,Criminal,46267,42755,34714,52611,53432,9096,784,239659,224295,2362,13002,0,149272,2764,77894,7614,9514,8455,1344,8522,80185
414,India,9,Uttar Pradesh,120,Prayagraj,2021,Total,61001,59846,48986,72402,63270,11679,1902,319086,294295,6563,15855,2373,149710,3896,151424,11150,11043,9463,13443,14390,130220
415,India,9,Uttar Pradesh,121,Ambedkar Nagar,2021,Civil,5453,5738,3272,4098,2325,829,107,21822,17900,575,3126,221,2654,863,12763,5382,435,532,7901,1711,15783
416,India,9,Uttar Pradesh,121,Ambedkar Nagar,2021,Criminal,24015,12281,5506,10700,5909,399,58,58868,53081,265,5522,0,34141,122,18654,4688,8035,5987,1080,3317,33758
417,India,9,Uttar Pradesh,121,Ambedkar Nagar,2021,Total,29468,18019,8778,14798,8234,1228,165,80690,70981,840,8648,221,36795,985,31417,10070,8470,6519,8981,5028,49541
418,India,9,Uttar Pradesh,122,Auraiya,2021,Civil,3585,3086,1665,2515,1067,46,29,11993,10535,52,656,132,984,206,4035,6768,265,343,2343,1785,7307
419,India,9,Uttar Pradesh,122,Auraiya,2021,Criminal,11975,11355,7132,11924,6457,537,31,49411,43341,72,5998,0,23933,316,17013,8123,5478,4191,577,8296,35466
420,India,9,Uttar Pradesh,122,Auraiya,2021,Total,15560,14441,8797,14439,7524,583,60,61404,53876,124,6654,132,24917,522,21048,14891,5743,4534,2920,10081,42773
421,India,9,Uttar Pradesh,123,Azamgarh,2021,Civil,11924,12927,9526,19172,8585,3010,1119,66263,54145,2460,8094,1564,1336,2968,47563,14290,864,2396,12358,7576,52079
422,India,9,Uttar Pradesh,123,Azamgarh,2021,Criminal,34220,18476,7867,15268,13038,1366,147,90382,79849,850,8636,1049,30606,508,52101,2348,10322,10527,1566,8053,46987
423,India,9,Uttar Pradesh,123,Azamgarh,2021,Total,46144,31403,17393,34440,21623,4376,1266,156645,133994,3310,16730,2613,31942,3476,99664,16638,11186,12923,13924,15629,99066
424,India,9,Uttar Pradesh,124,Baghpat,2021,Civil,3430,1279,778,636,496,89,159,6867,5653,189,602,423,478,744,4063,1548,292,328,1365,936,3391
425,India,9,Uttar Pradesh,124,Baghpat,2021,Criminal,19842,9683,6543,6520,4105,269,4,46966,44181,135,2650,0,31399,137,11268,3771,2947,2918,362,2644,25807
426,India,9,Uttar Pradesh,124,Baghpat,2021,Total,23272,10962,7321,7156,4601,358,163,53833,49834,324,3252,423,31877,881,15331,5319,3239,3246,1727,3580,29198
427,India,9,Uttar Pradesh,125,Bahraich,2021,Civil,6474,6274,3702,8149,3372,928,286,29185,24447,401,3409,928,595,593,18446,9543,585,1261,4412,4632,21684
428,India,9,Uttar Pradesh,125,Bahraich,2021,Criminal,47998,36435,11330,20617,17334,4499,591,138804,123287,277,15242,0,36939,179,84304,17164,13555,4383,1970,14719,86401
429,India,9,Uttar Pradesh,125,Bahraich,2021,Total,54472,42709,15032,28766,20706,5427,877,167989,147734,678,18651,928,37534,772,102750,26707,14140,5644,6382,19351,108085
430,India,9,Uttar Pradesh,126,Ballia,2021,Civil,6561,8011,4579,6598,5864,1834,683,34130,28141,1069,3858,1062,1703,1105,24529,6621,609,413,6438,3905,21693
431,India,9,Uttar Pradesh,126,Ballia,2021,Criminal,13849,15869,8408,26134,8880,2296,211,75647,68615,314,6096,622,19371,678,48867,4060,3033,1842,1146,7869,15713
432,India,9,Uttar Pradesh,126,Ballia,2021,Total,20410,23880,12987,32732,14744,4130,894,109777,96756,1383,9954,1684,21074,1783,73396,10681,3642,2255,7584,11774,37406
433,India,9,Uttar Pradesh,127,Balrampur,2021,Civil,3350,4436,2641,4261,1572,414,90,16764,16338,178,3,245,177,893,9173,6511,290,379,3048,2352,13037
434,India,9,Uttar Pradesh,127,Balrampur,2021,Criminal,22987,11921,3617,8375,6625,1995,110,55630,51157,134,4323,14,39084,1120,13691,1039,2585,2579,812,3824,32688
435,India,9,Uttar Pradesh,127,Balrampur,2021,Total,26337,16357,6258,12636,8197,2409,200,72394,67495,312,4326,259,39261,2013,22864,7550,2875,2958,3860,6176,45725
436,India,9,Uttar Pradesh,128,Banda,2021,Civil,3135,2562,1711,2292,726,137,152,10715,8753,354,928,680,131,1038,5701,3757,267,434,1756,1798,7571
437,India,9,Uttar Pradesh,128,Banda,2021,Criminal,38949,12514,5188,7940,6095,1313,128,72127,67221,224,4689,1,44306,1786,22857,1905,23376,2347,751,5760,30247
438,India,9,Uttar Pradesh,128,Banda,2021,Total,42084,15076,6899,10232,6821,1450,280,82842,75974,578,5617,681,44437,2824,28558,5662,23643,2781,2507,7558,37818
439,India,9,Uttar Pradesh,129,Barabanki,2021,Civil,7879,6522,3687,5721,2474,578,141,27002,25425,277,220,1080,5971,6425,7198,7325,629,527,4209,3448,5526
440,India,9,Uttar Pradesh,129,Barabanki,2021,Criminal,26813,22043,11529,17158,11758,861,49,90211,78381,298,11532,0,43121,1183,34758,10556,7125,6104,788,7599,20493
441,India,9,Uttar Pradesh,129,Barabanki,2021,Total,34692,28565,15216,22879,14232,1439,190,117213,103806,575,11752,1080,49092,7608,41956,17881,7754,6631,4997,11047,26019
442,India,9,Uttar Pradesh,130,Bareilly,2021,Civil,5643,9258,2986,3209,972,338,573,22979,19137,1002,1922,836,4464,2198,13489,2262,386,388,2135,2455,5900
443,India,9,Uttar Pradesh,130,Bareilly,2021,Criminal,57085,48955,19431,30924,18300,3680,503,178878,147051,1098,30717,10,72189,579,87882,4118,14040,13975,1133,9741,95888
444,India,9,Uttar Pradesh,130,Bareilly,2021,Total,62728,58213,22417,34133,19272,4018,1076,201857,166188,2100,32639,846,76653,2777,101371,6380,14426,14363,3268,12196,101788
445,India,9,Uttar Pradesh,131,Basti,2021,Civil,6028,6217,3326,5266,4183,2217,1064,28301,23932,643,2776,950,5436,3011,15419,4326,520,482,7930,2891,23014
446,India,9,Uttar Pradesh,131,Basti,2021,Criminal,38970,12923,9138,16523,13713,2029,366,93662,85282,247,8131,0,50849,1487,35876,5219,6209,7524,1607,5823,54974
447,India,9,Uttar Pradesh,131,Basti,2021,Total,44998,19140,12464,21789,17896,4246,1430,121963,109214,890,10907,950,56285,4498,51295,9545,6729,8006,9537,8714,77988
448,India,9,Uttar Pradesh,132,Bijnor,2021,Civil,9679,6608,3060,3553,1604,379,201,25084,22080,721,1208,1076,401,2042,15484,6372,840,1262,3915,3311,13543
449,India,9,Uttar Pradesh,132,Bijnor,2021,Criminal,22891,20698,15478,17002,12572,3365,317,92323,84798,612,6911,2,40505,1497,43588,6002,5406,5616,1643,6979,62007
450,India,9,Uttar Pradesh,132,Bijnor,2021,Total,32570,27306,18538,20555,14176,3744,518,117407,106878,1333,8119,1078,40906,3539,59072,12374,6246,6878,5558,10290,75550
451,India,9,Uttar Pradesh,133,Budaun,2021,Civil,4337,3091,1590,2184,1233,201,73,12709,11879,293,24,513,933,1671,6604,3501,430,424,2012,2355,8032
452,India,9,Uttar Pradesh,133,Budaun,2021,Criminal,33491,27670,11233,18231,12097,2292,351,105365,97072,326,7966,0,64370,2389,34469,4122,7309,7621,1149,9393,69993
453,India,9,Uttar Pradesh,133,Budaun,2021,Total,37828,30761,12823,20415,13330,2493,424,118074,108951,619,7990,513,65303,4060,41073,7623,7739,8045,3161,11748,78025
454,India,9,Uttar Pradesh,134,Bulandshahr,2021,Civil,9572,6650,3168,2817,1012,261,311,23791,18389,778,2559,2065,1314,1897,13928,6559,817,975,4625,3911,12022
455,India,9,Uttar Pradesh,134,Bulandshahr,2021,Criminal,28324,28316,15400,35822,12462,2529,349,123202,112919,469,9813,1,69072,4137,40575,9392,9614,4371,1813,10976,86113
456,India,9,Uttar Pradesh,134,Bulandshahr,2021,Total,37896,34966,18568,38639,13474,2790,660,146993,131308,1247,12372,2066,70386,6034,54503,15951,10431,5346,6438,14887,98135
457,India,9,Uttar Pradesh,135,Chandauli,2021,Civil,4744,3500,2192,3171,1293,176,39,15115,13294,270,1248,303,2089,3929,7019,1968,401,936,3641,2101,9643
458,India,9,Uttar Pradesh,135,Chandauli,2021,Criminal,29633,11641,6390,10015,10840,3290,599,72408,68888,282,3237,1,34276,160,22431,14357,5402,8227,439,3338,39931
459,India,9,Uttar Pradesh,135,Chandauli,2021,Total,34377,15141,8582,13186,12133,3466,638,87523,82182,552,4485,304,36365,4089,29450,16325,5803,9163,4080,5439,49574
460,India,9,Uttar Pradesh,136,Chitrakoot,2021,Civil,1574,1380,757,1106,313,38,28,5196,4366,500,166,164,29,457,2799,1911,133,67,1683,700,4020
461,India,9,Uttar Pradesh,136,Chitrakoot,2021,Criminal,7558,6870,2778,2727,669,26,4,20632,19217,78,1337,0,10993,782,8284,562,839,1376,380,2017,11944
462,India,9,Uttar Pradesh,136,Chitrakoot,2021,Total,9132,8250,3535,3833,982,64,32,25828,23583,578,1503,164,11022,1239,11083,2473,972,1443,2063,2717,15964
463,India,9,Uttar Pradesh,137,Deoria,2021,Civil,7869,6299,3058,14670,8913,2536,947,44292,37074,627,5082,1328,422,3414,35522,4762,578,918,3887,4733,34453
464,India,9,Uttar Pradesh,137,Deoria,2021,Criminal,20600,21917,11140,25980,17866,4327,162,101992,87757,585,13650,0,32742,1076,55051,1940,4848,3496,473,6210,48078
465,India,9,Uttar Pradesh,137,Deoria,2021,Total,28469,28216,14198,40650,26779,6863,1109,146284,124831,1212,18732,1328,33164,4490,90573,6702,5426,4414,4360,10943,82531
466,India,9,Uttar Pradesh,138,Etah,2021,Civil,5618,2823,1368,2123,281,97,167,12477,10482,276,1119,600,150,1043,7811,3456,401,752,3370,2591,6650
754,India,13,Nagaland,244,Dimapur,2021,Civil,175,43,18,17,1,0,0,254,251,0,0,3,53,0,16,38,4,1,3,2,1
467,India,9,Uttar Pradesh,138,Etah,2021,Criminal,26449,14219,10865,8407,3870,269,74,64153,58089,183,5881,0,28399,3634,25187,6901,10351,9473,1119,6329,36381
468,India,9,Uttar Pradesh,138,Etah,2021,Total,32067,17042,12233,10530,4151,366,241,76630,68571,459,7000,600,28549,4677,32998,10357,10752,10225,4489,8920,43031
469,India,9,Uttar Pradesh,139,Etawah,2021,Civil,3811,4086,2373,2408,1045,387,312,14422,13826,238,0,358,10,2604,7607,4198,344,385,3341,2593,10345
470,India,9,Uttar Pradesh,139,Etawah,2021,Criminal,13566,12171,7966,11135,5746,772,91,51447,48417,190,2840,0,24439,799,23784,2401,4233,3661,584,5990,37103
471,India,9,Uttar Pradesh,139,Etawah,2021,Total,17377,16257,10339,13543,6791,1159,403,65869,62243,428,2840,358,24449,3403,31391,6599,4577,4046,3925,8583,47448
472,India,9,Uttar Pradesh,140,Ayodhya,2021,Civil,9809,10782,4870,8870,4451,1195,262,40239,34269,1189,3881,900,1747,2413,24003,10479,1214,1226,7098,1806,29800
473,India,9,Uttar Pradesh,140,Ayodhya,2021,Criminal,30600,32841,11901,17745,11027,2622,382,107118,98587,2206,6286,43,34468,1345,49975,6149,8150,7009,792,1675,65280
474,India,9,Uttar Pradesh,140,Ayodhya,2021,Total,40409,43623,16771,26615,15478,3817,644,147357,132856,3395,10167,943,36215,3758,73978,16628,9364,8235,7890,3481,95080
475,India,9,Uttar Pradesh,141,Farrukhabad,2021,Civil,5431,4697,2235,3418,1504,504,413,18202,16743,493,385,582,317,3676,12789,977,356,416,2048,2029,11971
476,India,9,Uttar Pradesh,141,Farrukhabad,2021,Criminal,27226,16283,11241,16501,9801,2297,232,83581,64528,3503,15550,0,25445,3587,45198,1451,6070,5345,834,6856,47345
477,India,9,Uttar Pradesh,141,Farrukhabad,2021,Total,32657,20980,13476,19919,11305,2801,645,101783,81271,3996,15935,582,25762,7263,57987,2428,6426,5761,2882,8885,59316
478,India,9,Uttar Pradesh,142,Fatehpur,2021,Civil,4042,4095,3170,4296,2050,710,276,18639,15425,274,2007,940,1472,731,11808,4633,330,456,4002,2482,14288
479,India,9,Uttar Pradesh,142,Fatehpur,2021,Criminal,28669,20232,11880,16250,10758,2060,108,89957,84200,242,5522,0,22988,445,48365,18118,12912,10884,1095,8627,58663
480,India,9,Uttar Pradesh,142,Fatehpur,2021,Total,32711,24327,15050,20546,12808,2770,384,108596,99625,516,7529,940,24460,1176,60173,22751,13242,11340,5097,11109,72951
481,India,9,Uttar Pradesh,143,Firozabad,2021,Civil,5402,4236,2402,3125,1557,271,57,17050,13247,313,3058,432,48,211,13010,3687,616,911,3070,2948,6772
482,India,9,Uttar Pradesh,143,Firozabad,2021,Criminal,25165,24541,18677,34359,12410,1085,171,116408,107862,312,8234,0,28511,1294,81202,5305,10910,7711,1438,13559,39344
483,India,9,Uttar Pradesh,143,Firozabad,2021,Total,30567,28777,21079,37484,13967,1356,228,133458,121109,625,11292,432,28559,1505,94212,8992,11526,8622,4508,16507,46116
484,India,9,Uttar Pradesh,144,Gautam Buddha Nagar,2021,Civil,7230,6092,3205,2506,859,214,13,20119,15650,501,2195,1773,362,1111,13815,4478,584,422,993,1803,11915
485,India,9,Uttar Pradesh,144,Gautam Buddha Nagar,2021,Criminal,62418,53388,25381,38304,11053,384,12,190940,178734,685,11517,4,68841,1621,70958,4966,15187,16149,313,3085,118726
486,India,9,Uttar Pradesh,144,Gautam Buddha Nagar,2021,Total,69648,59480,28586,40810,11912,598,25,211059,194384,1186,13712,1777,69203,2732,84773,9444,15771,16571,1306,4888,130641
487,India,9,Uttar Pradesh,145,Ghaziabad,2021,Civil,9821,10596,5063,3390,1255,493,273,30891,21559,1266,3701,4365,6047,1696,18964,4120,1014,1325,4357,4966,19685
488,India,9,Uttar Pradesh,145,Ghaziabad,2021,Criminal,65420,58276,19037,39484,26031,2793,131,211172,198375,1322,11476,0,147452,2186,38925,11206,33485,38642,2984,13562,121722
489,India,9,Uttar Pradesh,145,Ghaziabad,2021,Total,75241,68872,24100,42874,27286,3286,404,242063,219934,2588,15177,4365,153499,3882,57889,15326,34499,39967,7341,18528,141407
490,India,9,Uttar Pradesh,146,Ghazipur,2021,Civil,8067,8662,6017,10801,5509,2157,544,41757,34775,1566,4725,691,5549,1665,23854,9664,733,563,7248,5701,25782
491,India,9,Uttar Pradesh,146,Ghazipur,2021,Criminal,25240,13986,11977,22414,12807,3065,631,90120,74914,332,14864,13,45830,1490,34042,7070,4392,3325,931,10600,24882
492,India,9,Uttar Pradesh,146,Ghazipur,2021,Total,33307,22648,17994,33215,18316,5222,1175,131877,109689,1898,19589,704,51379,3155,57896,16734,5125,3888,8179,16301,50664
493,India,9,Uttar Pradesh,147,Gonda,2021,Civil,9419,9297,6718,11558,6204,1570,426,45192,43844,433,298,617,2593,4585,22713,14548,166,299,8924,4670,32956
494,India,9,Uttar Pradesh,147,Gonda,2021,Criminal,35200,17831,11963,17534,16861,5628,819,105836,98342,303,7189,0,54628,339,43467,6671,13227,3613,1672,6248,66997
495,India,9,Uttar Pradesh,147,Gonda,2021,Total,44619,27128,18681,29092,23065,7198,1245,151028,142186,736,7487,617,57221,4924,66180,21219,13393,3912,10596,10918,99953
496,India,9,Uttar Pradesh,148,Gorakhpur,2021,Civil,12393,13056,15943,11606,3219,909,577,57703,49673,1248,4949,1833,875,7475,41711,7512,1059,1090,12566,9850,30747
497,India,9,Uttar Pradesh,148,Gorakhpur,2021,Criminal,122301,26037,26549,38373,35469,5786,725,255240,239063,501,15676,0,74197,5845,105693,69304,65556,17250,3178,18230,123200
498,India,9,Uttar Pradesh,148,Gorakhpur,2021,Total,134694,39093,42492,49979,38688,6695,1302,312943,288736,1749,20625,1833,75072,13320,147404,76816,66615,18340,15744,28080,153947
499,India,9,Uttar Pradesh,149,Hamirpur,2021,Civil,2546,2163,1161,1616,682,85,61,8314,6996,251,771,296,51,668,5329,2259,178,123,1789,1407,5245
500,India,9,Uttar Pradesh,149,Hamirpur,2021,Criminal,12661,9278,4807,7564,6791,1433,207,42741,38572,122,4043,5,23062,311,17103,1920,7062,4313,380,3725,28664
501,India,9,Uttar Pradesh,149,Hamirpur,2021,Total,15207,11441,5968,9180,7473,1518,268,51055,45568,373,4814,301,23113,979,22432,4179,7240,4436,2169,5132,33909
502,India,9,Uttar Pradesh,150,Hardoi,2021,Civil,6971,5618,3326,3687,1369,244,91,21306,19583,225,1002,497,201,1103,10999,8998,656,823,3828,2887,13756
503,India,9,Uttar Pradesh,150,Hardoi,2021,Criminal,28536,33504,13436,27787,12431,920,151,116765,107749,223,8793,0,44875,1369,65110,5289,4963,5252,1911,14169,83735
504,India,9,Uttar Pradesh,150,Hardoi,2021,Total,35507,39122,16762,31474,13800,1164,242,138071,127332,448,9795,497,45076,2472,76109,14287,5619,6075,5739,17056,97491
505,India,9,Uttar Pradesh,151,Jalaun,2021,Civil,4122,3548,2248,3366,1320,246,140,14990,12290,286,1828,586,15,2830,6898,5232,432,483,2330,1338,10578
506,India,9,Uttar Pradesh,151,Jalaun,2021,Criminal,16079,12421,6297,7563,7719,1887,253,52219,48497,125,3597,0,29867,1146,19423,1758,2058,2422,420,2745,33071
507,India,9,Uttar Pradesh,151,Jalaun,2021,Total,20201,15969,8545,10929,9039,2133,393,67209,60787,411,5425,586,29882,3976,26321,6990,2490,2905,2750,4083,43649
508,India,9,Uttar Pradesh,152,Jaunpur,2021,Civil,13923,13956,9049,18112,17782,11292,3145,87259,74387,1659,9921,1292,1076,7536,50981,27596,1110,1544,17110,9811,71722
509,India,9,Uttar Pradesh,152,Jaunpur,2021,Criminal,33434,23762,13052,26534,13445,1607,369,112203,102749,440,9014,0,56904,2451,47359,4668,5759,5694,2724,16337,74794
510,India,9,Uttar Pradesh,152,Jaunpur,2021,Total,47357,37718,22101,44646,31227,12899,3514,199462,177136,2099,18935,1292,57980,9987,98340,32264,6869,7238,19834,26148,146516
511,India,9,Uttar Pradesh,153,Jhansi,2021,Civil,5580,4829,3140,2940,1331,241,137,18198,15067,447,1808,876,201,1675,12152,4142,524,589,2538,2189,10632
512,India,9,Uttar Pradesh,153,Jhansi,2021,Criminal,19475,20852,11481,17925,10031,1177,88,81029,73794,329,6906,0,28741,1738,46732,3727,12210,12221,1170,7246,58219
513,India,9,Uttar Pradesh,153,Jhansi,2021,Total,25055,25681,14621,20865,11362,1418,225,99227,88861,776,8714,876,28942,3413,58884,7869,12734,12810,3708,9435,68851
514,India,9,Uttar Pradesh,154,Amroha,2021,Civil,4299,3670,1501,763,120,18,8,10379,8358,585,796,636,280,138,6223,3723,444,560,1875,1562,5614
515,India,9,Uttar Pradesh,154,Amroha,2021,Criminal,26796,13443,10038,3870,2287,91,3,56528,52821,262,3431,14,27768,567,24336,1110,3298,3823,702,4910,26326
516,India,9,Uttar Pradesh,154,Amroha,2021,Total,31095,17113,11539,4633,2407,109,11,66907,61179,847,4227,650,28048,705,30559,4833,3742,4383,2577,6472,31940
517,India,9,Uttar Pradesh,155,Kannauj,2021,Civil,4255,4437,2476,3249,1222,192,78,15909,14367,419,876,240,3742,2684,4903,4307,197,241,3743,1876,10686
518,India,9,Uttar Pradesh,155,Kannauj,2021,Criminal,31013,13588,11737,6609,5939,858,65,69809,56150,8836,4442,1,34606,2468,25308,7170,7544,6844,793,4947,33810
519,India,9,Uttar Pradesh,155,Kannauj,2021,Total,35268,18025,14213,9858,7161,1050,143,85718,70517,9255,5318,241,38348,5152,30211,11477,7741,7085,4536,6823,44496
520,India,9,Uttar Pradesh,156,Kanpur Dehat,2021,Civil,5198,5207,2374,2845,850,140,107,16721,14566,512,1042,601,152,2241,9224,5104,508,463,3428,2484,10732
521,India,9,Uttar Pradesh,156,Kanpur Dehat,2021,Criminal,61794,26356,17077,15904,12885,1214,73,135303,125793,223,9288,0,39043,2961,43523,49693,31031,5523,933,6712,72680
522,India,9,Uttar Pradesh,156,Kanpur Dehat,2021,Total,66992,31563,19451,18749,13735,1354,180,152024,140359,735,10330,601,39195,5202,52747,54797,31539,5986,4361,9196,83412
523,India,9,Uttar Pradesh,157,Kanpur Nagar,2021,Civil,13801,14409,9081,13520,6269,1551,1088,59719,48927,1614,5599,3580,435,4538,45797,8922,1340,1675,10733,11905,44799
524,India,9,Uttar Pradesh,157,Kanpur Nagar,2021,Criminal,112632,56363,45323,82557,22936,3774,328,323913,285334,925,37656,0,114873,3190,202683,3069,8594,12529,4226,28046,191616
525,India,9,Uttar Pradesh,157,Kanpur Nagar,2021,Total,126433,70772,54404,96077,29205,5325,1416,383632,334261,2539,43255,3580,115308,7728,248480,11991,9934,14204,14959,39951,236415
526,India,9,Uttar Pradesh,158,Kaushambi,2021,Civil,2951,3918,1617,1657,506,31,2,10682,9915,78,616,73,3353,181,1842,5264,402,107,1158,882,7809
527,India,9,Uttar Pradesh,158,Kaushambi,2021,Criminal,14533,11234,6350,12261,9661,26,7,54072,49360,184,4020,508,36540,231,13772,3126,3477,2643,248,3660,38726
528,India,9,Uttar Pradesh,158,Kaushambi,2021,Total,17484,15152,7967,13918,10167,57,9,64754,59275,262,4636,581,39893,412,15614,8390,3879,2750,1406,4542,46535
529,India,9,Uttar Pradesh,159,Kheri,2021,Civil,9293,5956,4030,4401,1519,257,91,25547,21933,495,2317,802,853,6150,9036,9366,896,952,5710,3150,15588
530,India,9,Uttar Pradesh,159,Kheri,2021,Criminal,52638,26176,19546,18144,12511,2141,167,131323,122141,441,8740,2,53307,2020,71431,2011,9440,9803,1249,6693,74902
531,India,9,Uttar Pradesh,159,Kheri,2021,Total,61931,32132,23576,22545,14030,2398,258,156870,144074,936,11057,804,54160,8170,80467,11377,10336,10755,6959,9843,90490
532,India,9,Uttar Pradesh,160,Kushi Nagar,2021,Civil,7397,7434,5455,10632,9974,3818,606,45316,44317,491,2,509,21826,372,16871,6237,465,885,10048,7249,37524
533,India,9,Uttar Pradesh,160,Kushi Nagar,2021,Criminal,29639,18579,10274,23984,20948,6248,1337,111009,103889,388,6732,0,72901,211,32421,3949,3928,3568,1904,9816,79471
534,India,9,Uttar Pradesh,160,Kushi Nagar,2021,Total,37036,26013,15729,34616,30922,10066,1943,156325,148206,879,6734,509,94727,583,49292,10186,4393,4453,11952,17065,116995
535,India,9,Uttar Pradesh,161,Lalitpur,2021,Civil,2143,1758,1257,2039,603,106,24,7930,6512,127,900,391,40,2742,3589,1417,412,560,1570,1282,5547
536,India,9,Uttar Pradesh,161,Lalitpur,2021,Criminal,16560,11381,7648,8301,5025,502,22,49439,44405,270,4764,0,18756,1784,21199,7684,3597,2572,850,5266,33086
537,India,9,Uttar Pradesh,161,Lalitpur,2021,Total,18703,13139,8905,10340,5628,608,46,57369,50917,397,5664,391,18796,4526,24788,9101,4009,3132,2420,6548,38633
538,India,9,Uttar Pradesh,162,Lucknow,2021,Civil,19324,21415,11537,16985,5618,886,398,76163,68140,3120,45,4858,2241,993,53794,18405,1794,1152,8953,12127,48422
